年份,领域大类,tag,标题,作者,论文链接,项目链接
2020,文件和存储系统,,Persistent Memory and the Rise of Universal Constructions,"Andreia Correia, University of Neuchatel, Switzerland; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3387515,https://github.com/search?q=Autarky%3A+Closing+controlled+channels+with+self-paging+enclaves&type=code
2020,数据中心系统,,SEUSS: Skip Redundant Paths to Make Serverless Fast,"James Cadden, Boston University; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3392698,https://trusslab.github.io/mousse/
2020,软件测试,,Statically Inferring Performance Properties of Software Configurations,"Chi Li, University of Chicago; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3387520,https://github.com/AutomataLab/Subway
2020,软件测试,,Provable Multicore Schedulers with Ipanema: Application to Work Conservation,"Baptiste Lepers, University of Sydney; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3387544,https://github.com/pramalhe/RedoDB
2020,文件和存储系统,,RAIDP: ReplicAtion with Intra-Disk Parity for Cost-Effective Storage of Warm Data,"Eitan Rosenfeld, Technion — Israel Institute of Technology; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3387546,https://github.com/osmhpi/metalfs
2020,机器学习系统,,Accelerating Winograd Convolutions using Symbolic Computation and Meta-programming,"Arya Mazaheri, TU Darmstadt; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3387549,https://aeonproject.github.io/plasma/webpages/
2020,机器学习系统,,Balancing Efficiency and Fairness in Heterogeneous GPU Clusters for Deep Learning,"Shubham Chaudhary, Microsoft Research India; et al.",https://dl.acm.org/doi/abs/10.1145/3342195.3387555,https://github.com/toshi0383/ipanema
2019,并行与分布式系统,,Multiverse: Compiler-Assisted Management of Dynamic Variability in Low-Level System Software,"Florian Rommel, Leibniz Universität Hannover; et al.",https://dl.acm.org/doi/abs/10.1145/3302424.3303959,https://github.com/luhsra/multiverse
2019,并行与分布式系统,,Teaching Rigorous Distributed Systems With Efficient Model Checking,"Ellis Michael, University of Washington; et al.",https://dl.acm.org/doi/abs/10.1145/3302424.3303947,https://github.com/emichael/dslabs
2019,大数据系统,,GraphBolt: Dependency-Driven Synchronous Processing of Streaming Graphs,"Mugilan Mariappan, Simon Fraser University; et al.",https://dl.acm.org/doi/abs/10.1145/3302424.3303974,https://github.com/pdclab/graphbolt
2019,文件和存储系统,,Wormhole: A Fast Ordered Index for In-memory Data Management,"Xingbo Wu, University of Illinois at Chicago; et al.",https://dl.acm.org/doi/abs/10.1145/3302424.3303955,https://github.com/wuxb45/wormhole
2019,网络系统,,The Case For In-Network Computing On Demand,"Yuta Tokusashi, Keio University; et al.",https://dl.acm.org/doi/abs/10.1145/3302424.3303979,https://github.com/cucl-srg/INC-ondemand
2019,网络系统,,TAS: TCP Acceleration as an OS Service,"Antoine Kaufmann, MPI-SWS; et al.",https://dl.acm.org/doi/abs/10.1145/3302424.3303985,https://github.com/tcp-acceleration-service/tas
2019,数据中心系统,,Per Application Power Delivery,"Akhil Guliani, University of Wisconsin-Madison; et al.",https://dl.acm.org/doi/10.1145/3302424.3303981,https://github.com/akhilguliani/turbostat_ryzen
2019,系统安全与隐私,,ShieldStore: Shielded In-memory Key-value Storage with SGX,"Taehoon Kim, KAIST; et al.",https://dl.acm.org/doi/abs/10.1145/3302424.3303951,https://github.com/cocoppang/ShieldStore
2019,系统安全与隐私,,Conclave: Secure Multi-Party Computation on Big Data,"Nikolaj Volgushev, Alexandra Institute; et al.",https://dl.acm.org/doi/abs/10.1145/3302424.3303982,https://github.com/multiparty/conclave
2019,机器学习系统,,Automating Dependence-Aware Parallelization of Machine Learning Training on Distributed Shared Memory,"Jinliang Wei, Carnegie Mellon University; et al.",https://dl.acm.org/doi/abs/10.1145/3302424.3303954,https://github.com/jinliangwei/orion
2019,机器学习系统,,VStore: A Data Store for Analytics on Large Videos,"Tiantu Xu, Purdue ECE; et al.",https://dl.acm.org/doi/abs/10.1145/3302424.3303971,https://github.com/tiantuxu/VStore
