年份,领域大类,修正版关键词（最多3个）,论文标题,"作者和单位（格式：author, institute; et al.）",论文链接,项目链接
2021,大数据系统,"流处理,数据分析,图计算",Sliding Window-based Approximate Triangle Counting over Streaming Graphs with Duplicate Edges,"Xiangyang Gou, Peking University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452800,https://github.com/StreamingTriangleCounting/TriangleCounting
2021,数据库系统,"流处理,索引结构",Index-Accelerated Pattern Matching in Event Stores,"Michael Körber, University of Marburg; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457245,https://github.com/sigmod2021-index-pattern/index-pattern
2021,大数据系统,"流处理,数据管理,数据预取","EIRES: Efficient Integration of Remote Data
in Event Stream Processing","Bo Zhao, Humboldt-Universität zu Berlin; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457304,https://github.com/zbjob/EIRES
2021,大数据系统,流处理,"To Share, or not to Share Online Event Trend Aggregation Over
Bursty Event Streams","Olga Poppe, Microsoft Gray Systems Lab; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452785,https://github.com/LeiMa0324/Hamlet
2021,大数据系统,流处理,"MuSE Graphs for Flexible Distribution of
Event Stream Processing in Networks","Samira Akili, Humboldt-Universität zu Berlin; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457318,https://github.com/samieze/aMuSE
2021,"大数据系统,机器学习系统","数据挖掘,神经网络,物联网",Pool of Experts: Realtime Querying Specialized Knowledge in Massive Neural Networks,"Hakbin Kim,Inha University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457326,https://github.com/bigdata-inha/Pool-of-Experts-code
2021,"机器学习系统,数据库系统",排序算法,"Efficient String Sort with Multi-Character Encoding and
Adaptive Sampling","Wen Jin, Independent Researcher; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457319,https://github.com/amce2021/AMCE2021
2021,数据库系统,数据库事务,Rethink the Scan in MVCC Databases,"Jongbin Kim, Hanyang University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452783,https://github.com/hyu-scslab/vWeaver
2021,数据库系统,"数据库事务,并发控制",Releasing Locks As Early As You Can: Reducing Contention of Hotspots by Violating Two-Phase Locking,"Zhihan Guo, University of Wisconsin-Madison; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457294,https://github.com/ScarletGuo/Bamboo-Public
2021,数据库系统,"数据库事务,流处理,崩溃一致性",Clonos: Consistent Causal Recovery for Highly-Available Streaming Dataflows,"Pedro F. Silvestre, Delft University of Technology; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457320,https://github.com/delftdata/Clonos
