年份,领域大类,关键词（最多3个）,论文标题,作者,论文链接,项目链接
2021,数据库系统,,Unconstrained Submodular Maximization with Modular Costs: Tight Approximation and Application to Profit Maximization,"Tianyuan Jin, National University of Singapore; et al.",http://vldb.org/pvldb/vol14/p1756-jin.pdf,
2021,大数据系统,,Tailoring Data Source Distributions for Fairness-aware Data Integration,"Fatemeh Nargesian, University of Rochester; et al.",http://vldb.org/pvldb/vol14/p2519-nargesian.pdf,
2021,大数据系统,"SysforAI,机器学习",Automated Feature Engineering for Algorithmic Fairness,"Ricardo Salazar, TU Berlin; et al.",http://vldb.org/pvldb/vol14/p1694-neutatz.pdf,https://github.com/RicardoSD/FairExp
2021,大数据系统,,Explaining Monotonic Ranking Functions,"Abraham Gale, Rutgers University; et al.",http://vldb.org/pvldb/vol14/p640-marian.pdf,
2021,系统安全与隐私,,Optimizing Fitness-For-Use of Differentially Private Linear Queries,"Yingtai Xiao, Pennsylvania State University; et al.",http://vldb.org/pvldb/vol14/p1730-xiao.pdf,
2021,系统安全与隐私,"差分隐私,数据管理",Data Synthesis via Differentially Private Markov Random Field,"Kuntai Cai, National University of Singapore; et al.",http://vldb.org/pvldb/vol14/p2190-cai.pdf,https://github.com/caicre/PrivMRF
2021,系统安全与隐私,差分隐私,Differentially Private Binary- and Matrix-Valued Data Query: An XOR Mechanism,"Tianxi Ji, Case Western Reserve University; et al.",http://vldb.org/pvldb/vol14/p849-ji.pdf,https://github.com/nestgroup/The-XOR-mechanism
2021,系统安全与隐私,,Answering Multi-Dimensional Range Queries under Local Differential Privacy,"Jianyu Yang, Beijing University of Posts and Telecommunications; et al.",http://vldb.org/pvldb/vol14/p378-yang.pdf,
2021,系统安全与隐私,,CGM: An Enhanced Mechanism for Streaming Data Collectionwith Local Differential Privacy,"ergute bao, national university of singapore; et al.",http://vldb.org/pvldb/vol14/p2258-bao.pdf,
2021,数据库系统,,Minimum Vertex Augmentation,"Jianwen Zhao, Chinese University of Hong Kong; et al.",http://vldb.org/pvldb/vol14/p1454-tao.pdf,
2021,数据库系统,,Automating Incremental Graph Processing with Flexible Memoization,"Shufeng Gong, NorthEastern University; et al.",http://vldb.org/pvldb/vol14/p1613-gong.pdf,
2021,数据库系统,,RapidMatch: A Holistic Approach to Subgraph Query Processing,"Shixuan Sun, National University of Singapore; et al.",http://vldb.org/pvldb/vol14/p176-sun.pdf,
2021,数据库系统,"图数据库,数据分析,数据库事务",Teseo and the Analysis of Structural Dynamic Graphs,"Dean De Leo, Centrum Wiskunde &amp; Informatica; et al.",http://vldb.org/pvldb/vol14/p1053-leo.pdf,https://github.com/cwida/gfe_driver
2021,数据库系统,,ConnectIt: A Framework for Static and Incremental Parallel Graph Connectivity Algorithms,"Laxman Dhulipala, MIT CSAIL; et al.",http://vldb.org/pvldb/vol14/p653-dhulipala.pdf,
2021,数据库系统,"异常检测,数据分析",Exathlon: A Benchmark for Explainable Anomaly Detection over Time Series,"Vincent Jacob, Ecole Polytechnique; et al.",http://vldb.org/pvldb/vol14/p2613-tatbul.pdf,https://github.com/exathlonbenchmark/exathlon
2021,数据库系统,"数据分析,异常检测,在线分析",ORBITS: Online Recovery of Missing Values in Multiple Time Series Streams,"Mourad Khayati, University of Fribourg; et al.",http://vldb.org/pvldb/vol14/p294-khayati.pdf,https://github.com/eXascaleInfolab/orbits
2021,数据库系统,"数据管理,压缩技术,查询优化",Heracles: An Efficient Storage Model And Data Flushing For Performance Monitoring Timeseries,"Zhiqi Wang, The Chinese University of HK; et al.",http://vldb.org/pvldb/vol14/p1080-wang.pdf,https://github.com/naivewong/heracles
2021,数据库系统,,FlashP: An Analytical Pipeline for Real-time Forecasting of Time-Series Relational Data,"YAN SHUYUAN, Alibaba; et al.",http://vldb.org/pvldb/vol14/p721-ding.pdf,
2021,机器学习系统,"AIforSys,自然语言处理,神经网络",DBTagger: Multi-Task Learning for Keyword Mapping in NLIDBs Using Bi-Directional Recurrent Neural Networks,"Arif Usta, Bilkent University; et al.",http://vldb.org/pvldb/vol14/p813-usta.pdf,https://github.com/arifusta/DBTagger
2021,机器学习系统,"DNN,ML训练,ML优化",Analyzing and Mitigating Data Stalls in DNN Training,"Jayashree Mohan, UT Austin; et al.",http://vldb.org/pvldb/vol14/p771-mohan.pdf,https://github.com/msr-fiddle/DS-Analyzer
2021,机器学习系统,"压缩技术,SysforAI,ML训练",Progressive Compressed Records: Taking a Byte out of Deep Learning Data,"Michael Kuchnik, Carnegie Mellon University; et al.",http://vldb.org/pvldb/vol14/p2627-kuchnik.pdf,https://github.com/mkuchnik/PCR_Release
2021,机器学习系统,,Towards an Optimized GROUP BY Abstraction for Large-Scale Machine Learning,"Side Li, University of California San Diego; et al.",http://vldb.org/pvldb/vol14/p2327-li.pdf,
2021,机器学习系统,,Dealer: An End-to-End Model Marketplace with Differential Privacy,"Jinfei Liu, Emory University/Georgia Institute of Technology; et al.",http://vldb.org/pvldb/vol14/p957-liu.pdf,
2021,数据库系统,"索引结构,数据分析,AIforSys",Benchmarking Learned Indexes,"Ryan C Marcus, MIT; et al.",http://vldb.org/pvldb/vol14/p1-marcus.pdf,https://learned.systems/sosd
2021,数据库系统,,Tsunami: A Learned Multi-dimensional Index for Correlated Data and Skewed Workloads,"Jialin Ding, MIT; et al.",http://vldb.org/pvldb/vol14/p74-ding.pdf,
2021,数据库系统,,Cuckoo Index: A Lightweight Secondary Index Structure,"Andreas Kipf, MIT; et al.",http://vldb.org/pvldb/vol13/p3559-kipf.pdf,
2021,数据库系统,,Updatable Learned Index with Precise Positions,"Jiacheng Wu, Tsinghua University; et al.",http://vldb.org/pvldb/vol14/p1276-wu.pdf,
2021,数据库系统,"索引结构,性能调优",Scalable Structural Index Construction for JSON Analytics,"Lin Jiang, University of California Riverside; et al.",http://vldb.org/pvldb/vol14/p694-zhao.pdf,https://github.com/AutomataLab/Pison
2021,机器学习系统,"SysforAI,ML优化,ML训练",Deep Entity Matching with Pre-Trained Language Models,"Yuliang Li, Megagon Labs; et al.",http://vldb.org/pvldb/vol14/p50-li.pdf,https://github .com/megagonlabs/ditto
2021,机器学习系统,"SysforAI,ML训练,ML推理",Deep Learning for Blocking in Entity Matching: A Design Space Exploration,"Saravanan Thirumuruganathan, QCRI; et al.",http://vldb.org/pvldb/vol14/p2459-thirumuruganathan.pdf,https://github.com/saravanan-thirumuruganathan/DeepBlocker
2021,机器学习系统,知识图谱,Dual-Objective Fine-Tuning of BERT for Entity Matching,"Ralph Peeters, University of Mannheim; et al.",http://vldb.org/pvldb/vol14/p1913-peeters.pdf,https://github.com/wbsg-uni-mannheim/jointbert
2021,机器学习系统,,Discovering Related Data At Scale,"Sagar Bharadwaj K S, Microsoft; et al.",http://vldb.org/pvldb/vol14/p1392-bharadwaj.pdf,
2021,机器学习系统,,TQEL: Framework for Query-Driven Linking of Top-K Entities in Social Media Blogs,"Abdulrahman Alsaudi, University of California Irvine; et al.",http://vldb.org/pvldb/vol14/p2642-alsaudi.pdf,
2021,机器学习系统,"ML推理,SysforAI",Accelerating Large Scale Real-Time GNN Inference using Channel Pruning,"hongkuan zhou, University of Southern California; et al.",http://vldb.org/pvldb/vol14/p1597-zhou.pdf,https://github.com/tedzhouhk/GCNP
2021,机器学习系统,,Efficient Streaming Subgraph Isomorphism with Graph Neural Networks,"Chi Thang Duong, Ecole Polytechnique Federale de Lausanne; et al.",http://vldb.org/pvldb/vol14/p730-duong.pdf,
2021,机器学习系统,,Grain: Improving Data Efficiency of Graph Neural Networks via Diversified Influence Maximization,"Wentao Zhang, Peking University; et al.",http://vldb.org/pvldb/vol14/p2473-zhang.pdf,
2021,机器学习系统,"ML训练,SysforAI",Large Graph Convolutional Network Training with GPU-Oriented Data Communication Architecture,"Seung Won Min, University of Illinois at Urbana-Champaign; et al.",http://vldb.org/pvldb/vol14/p2087-min.pdf,https://github.com/K-Wu/pytorch-direct_dgl
2021,机器学习系统,,Multi-Modal Transportation Recommendation with Unified Route Representation Learning,"Hao LIU, Business Intelligence Lab Baidu Research; et al.",http://vldb.org/pvldb/vol14/p342-liu.pdf,
2021,数据库系统,,Taurus: Lightweight Parallel Logging for In-Memory Database Management Systems,"Yu Xia, MIT; et al.",http://vldb.org/pvldb/vol14/p189-xia.pdf,
2021,数据库系统,"数据预取,数据库事务",CoroBase: Coroutine-Oriented Main-Memory Database Engine,"Yongjun He, Simon Fraser University; et al.",http://vldb.org/pvldb/vol14/p431-he.pdf,https://github.com/sfu-dis/corobase/tree/v1.0
2021,数据库系统,,Toward a Better Understanding and Evaluation of Tree Structures on Flash SSDs,"Diego Didona, IBM Research - Zurich; et al.",http://vldb.org/pvldb/vol14/p364-didona.pdf,
2021,数据库系统,,An Analysis of Concurrency Control Protocols fo In-Memory Database with CCBench,"Takayuki Tanabe, University of Tsukuba; et al.",http://vldb.org/pvldb/vol13/p3531-tanabe.pdf,
2021,数据库系统,"存储系统,LSMT",Constructing and Analyzing the LSM Compaction Design Space,"Subhadeep Sarkar, Boston University; et al.",http://vldb.org/pvldb/vol14/p2216-sarkar.pdf,https://disc.bu.edu/lsm-compaction
2021,机器学习系统,,Scaling Attributed Network Embedding to Massive Graphs,"Renchi Yang, National University of Singapore; et al.",http://vldb.org/pvldb/vol14/p37-yang.pdf,
2021,机器学习系统,"图计算,机器学习",FREDE: Anytime Graph Embeddings,"Anton Tsitsulin, University of Bonn; et al.",http://vldb.org/pvldb/vol14/p1102-mottin.pdf,https://github.com/xgfs/frede
2021,机器学习系统,,Tensors: An abstraction for general data processing,"Dimitrios Koutsoukos, ETHZ; et al.",http://vldb.org/pvldb/vol14/p1797-koutsoukos.pdf,
2021,机器学习系统,ML训练,TURL: Table Understanding through Representation Learning,"Xiang Deng, The Ohio State University; et al.",http://vldb.org/pvldb/vol14/p307-deng.pdf,https://github.com/sunlab-osu/TURL
2021,并行与分布式系统,,Seagull: An Infrastructure for Load Prediction and Optimized Resource Allocation,"Olga Poppe, Microsoft; et al.",http://vldb.org/pvldb/vol14/p154-poppe.pdf,
2021,并行与分布式系统,"拜占庭容错,数据库分析",ByShard: Sharding in a Byzantine Environment,"Jelle Hellings, University of California Davis; et al.",http://vldb.org/pvldb/vol14/p2230-hellings.pdf,https://www.jhellings.nl/projects/byshard
2021,并行与分布式系统,,MorphoSys: Automatic Physical Design Metamorphosis for Distributed Database Systems,"Michael Abebe, University of Waterloo; et al.",http://vldb.org/pvldb/vol13/p3573-abebe.pdf,
2021,并行与分布式系统,,Trident: Task Scheduling over Tiered Storage Systems in Big Data Platforms,"Herodotos  Herodotou, Cyprus University of Technology; et al.",http://vldb.org/pvldb/vol14/p1570-herodotou.pdf,
2021,并行与分布式系统,,Towards Cost-Optimal Query Processing in the Cloud,"Viktor Leis, Friedrich-Alexander-Universität Erlangen-Nürnberg; et al.",http://vldb.org/pvldb/vol14/p1606-leis.pdf,
2021,并行与分布式系统,,Crystal: A Unified Cache Storage System for Analytical Databases,"Dominik Durner, TUM; et al.",http://vldb.org/pvldb/vol14/p2432-durner.pdf,
2021,系统安全与隐私,"区块链,密码学",CALYPSO: Private Data Management for Decentralized Ledgers,"Eleftherios Kokoris Kogias, IST Austria; et al.",http://vldb.org/pvldb/vol14/p586-kogias.pdf,https://github.com/calypso-demo
2021,系统安全与隐私,"区块链,密码学",SlimChain: Scaling Blockchain Transactions through Off-Chain Storage and Parallel Processing,"Cheng Xu, Hong Kong Baptist University; et al.",http://vldb.org/pvldb/vol14/p2314-xu.pdf,https://github.com/hkbudb/slimchain
