年份,领域大类,关键词（最多3个）,论文标题,"作者和单位（格式：author, institute; et al.）",论文链接,项目链接
2021,文件和存储系统,"SSD,软硬件协同",ZNS+: Advanced Zoned Namespace Interface for Supporting In-Storage Zone Compaction,"Kyuhwa Han, Sungkyunkwan University and Samsung Electronics; et al.",https://www.usenix.org/conference/osdi21/presentation/han,http://nyx.skku.ac.kr/?page_id=2808
2021,文件和存储系统,"文件系统,软硬件协同,SSD",Modernizing File System through In-Storage Indexing,"Jinhyung Koo, DGIST; et al.",https://www.usenix.org/conference/osdi21/presentation/koo,https://zenodo.org/record/4659803
2021,系统安全与隐私,"Web,语言安全",STORM: Refinement Types for Secure Web Applications,"Nico Lehmann, UC San Diego; et al.",https://www.usenix.org/conference/osdi21/presentation/lehmann,https://github.com/storm-framework/artifact
2021,系统安全与隐私,"ORAM,虚拟内存,内存管理",MAGE: Nearly Zero-Cost Virtual Memory for Secure Computation,"Sam Kumar, University of California, Berkeley; et al.",https://www.usenix.org/conference/osdi21/presentation/kumar,https://github.com/ucbrise/mage
2021,系统安全与隐私,,Scalable Memory Protection in the PENGLAI Enclave,"Erhu Feng, Shanghai Jiao Tong University; et al.",https://www.usenix.org/conference/osdi21/presentation/feng,https://github.com/Penglai-Enclave/Penglai-Enclave-TVM
2021,系统安全与隐私,,Zeph: Cryptographic Enforcement of End-to-End Data Privacy,"Lukas Burkhalter, ETH Zürich; et al.",https://www.usenix.org/conference/osdi21/presentation/burkhalter,https://github.com/pps-lab/zeph-artifact
2021,系统安全与隐私,"程序分析,内存安全,静态分析",SANRAZOR: Reducing Redundant Sanitizer Checks in C/C++ Programs,"Jiang Zhang, University of Southern California; et al.",https://www.usenix.org/conference/osdi21/presentation/zhang,https://zenodo.org/record/4655221#.YGU8SEhKhhE
2021,系统安全与隐私,"差分隐私,机器学习,ML训练",Privacy Budget Scheduling,"Tao Luo, Columbia University; et al.",https://www.usenix.org/conference/osdi21/presentation/luo,https://github.com/columbia/PrivateKube/
2021,"形式化验证,文件和存储系统","崩溃一致性,交互式证明","GoJournal: a verified, concurrent, crash-safe journaling system","Tej Chajed, MIT CSAIL; et al.",https://www.usenix.org/conference/osdi21/presentation/chajed,https://github.com/mit-pdos/go-journal
2021,形式化验证,"分布式共识协议,分布式协议",DistAI: Data-Driven Automated Invariant Learning for Distributed Protocols,"Jianan Yao, Columbia University;et al.",https://www.usenix.org/conference/osdi21/presentation/yao,https://github.com/VeriGu/DistAI
2020,并行与分布式系统,"Replication,BFT,分布式共识协议",Byzantine Ordered Consensus without Byzantine Oligarchy,"Yunhao Zhang, Cornell University; et al.",https://www.usenix.org/conference/osdi20/presentation/zhang-yunhao,https://github.com/yhzhang0128/osdi20-artifact-evaluation
2020,并行与分布式系统,"Replication,容错,RDMA",Microsecond Consensus for Microsecond Applications,"Marcos K. Aguilera, VMware Research; et al.",https://www.usenix.org/conference/osdi20/presentation/aguilera,https://github.com/osdi2020-no-152/dory
2020,并行与分布式系统,"网络系统,容错",Toward a Generic Fault Tolerance Technique for Partial Network Partitioning,"Mohammed Alfatafta; University of Waterloo, Canada; et al.",https://www.usenix.org/conference/osdi20/presentation/alfatafta,https://github.com/UWASL/NIFTY
2020,并行与分布式系统,"Replication,可编程网络,键值存储",Pegasus: Tolerating Skewed Workloads in Distributed Storage with In-Network Coherence Directories,"Jialin Li, National University of Singapore; et al.",https://www.usenix.org/conference/osdi20/presentation/li-jialin,https://github.com/NUS-Systems-Lab/pegasus.git
2020,并行与分布式系统,"分布式协议,并发控制",Performance-Optimal Read-Only Transactions,"Haonan Lu, Princeton University; et al.",https://www.usenix.org/conference/osdi20/presentation/lu,https://github.com/princeton-sns/Eiger-PORT
2020,"并行与分布式系统,文件和存储系统","数据管理,容错",PACEMAKER: Avoiding HeART attacks in storage clusters with disk-adaptive redundancy,"Saurabh Kadekodi, Carnegie Mellon University; et al.",https://www.usenix.org/conference/osdi20/presentation/kadekodi,https://github.com/saurabhkadekodi/preact-osdi-2020-artifact
2020,并行与分布式系统,"QoS,Web,微服务,AIforSys",FIRM: An Intelligent Fine-grained Resource Management Framework for SLO-Oriented Microservices,"Haoran Qiu, University of Illinois at Urbana-Champaign; et al.",https://www.usenix.org/conference/osdi20/presentation/qiu,https://gitlab.engr.illinois.edu/DEPEND/firm
2021,操作系统,"多核,NUMA,Replication",NrOS: Effective Replication and Sharing in an Operating System,"Ankit Bhardwaj, University of Utah; et al.",https://www.usenix.org/conference/osdi21/presentation/bhardwaj,https://nrkernel.systems/book/benchmarking/ArtifactEvaluation.html
