年份,领域大类,tag,论文标题,作者,论文链接,项目链接
2021,系统安全与隐私,,SlimChain: Scaling Blockchain Transactions through Off-Chain Storage and Parallel Processing,"Cheng Xu, Hong Kong Baptist University; et al.",http://vldb.org/pvldb/vol14/p2314-xu.pdf,https://github.com/hkbudb/slimchain
2021,机器学习系统,,Scalable Community Detection via Parallel Correlation Clustering,"Jessica Shi, MIT; et al.",http://vldb.org/pvldb/vol14/p2305-shi.pdf,https://github.com/jeshi96/parallel-correlation-clustering
2021,机器学习系统,,Scalable Mining of Maximal Quasi-Cliques: An Algorithm-System Codesign Approach,"Guimu Guo, The University of Alabama at Birmingham; et al.",http://vldb.org/pvldb/vol14/p573-guo.pdf,https://github.com/yanlab19870714/gthinkerQC
2021,数据库系统,,Database Isolation By Scheduling,"Kevin P Gaffney, University of Wisconsin-Madison; et al.",http://vldb.org/pvldb/vol14/p1467-gaffney.pdf,https://github.com/UWHustle/dibs
2021,系统安全与隐私,,Budget Sharing for Multi-Analyst Differential Privacy,"David A Pujol, Duke University; et al.",http://vldb.org/pvldb/vol14/p1805-pujol.pdf,https://github.com/yikai-wu/Multi-Analyst-DP
2021,系统安全与隐私,,Frequency Estimation under Local Differential Privacy,"Graham Cormode, University of Warwick; et al.",http://vldb.org/pvldb/vol14/p2046-cormode.pdf,https://github.com/Samuel-Maddock/pure-LDP
2021,机器学习系统,,ParaX: Boosting Deep Learning for Big Data Analytics on Many-Core CPUs,"Lujia Yin, NUDT; et al.",http://vldb.org/pvldb/vol14/p864-zhang.pdf,https://github.com/nicexlab/parax-source
2021,并行与分布式系统,,Elle: Inferring Isolation Anomalies from Experimental Observations,"Peter Alvaro, UC Santa Cruz; et al.",http://vldb.org/pvldb/vol14/p268-alvaro.pdf,https://github.com/jepsen-io/jepsen
2021,数据库系统,,"Beyond Equi-joins: Ranking, Enumeration and Factorization","Nikolaos Tziavelis, Northeastern University; et al.",http://vldb.org/pvldb/vol14/p2599-tziavelis.pdf,https://github.com/northeastern-datalab/anyk-code
2021,数据库系统,,Stacked Filters: Learning to Filter by Structure,"Kyle B Deeds, Harvard University; et al.",http://vldb.org/pvldb/vol14/p600-hentschel.pdf,https://bitbucket.org/HarvardDASlab/stackedfilters
2021,数据库系统,,Charting the Design Space of Query Execution using VOILA,"Tim Gubner, CWI; et al.",http://vldb.org/pvldb/vol14/p1067-gubner.pdf,https://github.com/t1mm3/vldb_voila
2021,数据库系统,,Columnar Storage and List-based Processing for Graph Database Management Systems,"Pranjal Gupta, University of Waterloo; et al.",http://vldb.org/pvldb/vol14/p2491-gupta.pdf,https://github.com/graphflow/graphflow-columnar-techniques
2021,数据库系统,,Materializing Knowledge Bases via Trigger Graphs,"Efthymia Tsamoura, Samsung AI Research; et al.",http://vldb.org/pvldb/vol14/p943-tsamoura.pdf,https://github.com/karmaresearch/glog
