年份,研究领域,tag,研究领域,论文标题,作者,论文链接,项目名,项目链接
2020,形式化验证,,形式化,Storage Systems are Distributed Systems (So Verify Them That Way!),"Travis Hance, Carnegie Mellon University; ert al.",https://www.usenix.org/conference/osdi20/presentation/hance,VeriSafeKV,https://github.com/secure-foundations/veribetrkv-osdi2020
2020,形式化验证,,形式化,Determinizing Crash Behavior with a Verified Snapshot-Consistent Flash Translation Layer,"Yun-Sheng Chang, Institute of Information Science, Academia Sinica, Taiwan; et al.",https://www.usenix.org/conference/osdi20/presentation/chang,SCFTL,https://github.com/yunshengtw/scftl
2020,形式化验证,,形式化,Aragog: Scalable Runtime Verification of Shardable Networked Systems,"Nofel Yaseen, University of Pennsylvania; et al.",https://www.usenix.org/conference/osdi20/presentation/yaseen,Aragog,https://github.com/NofelYaseen/MBVerifier
2018,操作系统,,,"LegoOS: A Disseminated, Distributed OS for Hardware Resource Disaggregatio","Yizhou Shan, Purdue University; et al.",https://www.usenix.org/conference/atc19/presentation/shan,LegoOS,https://github.com/WukLab/LegoOS
2018,文件和存储系统,,存储,Write-Optimized and High-Performance Hashing Index Scheme for Persistent Memory,"Pengfei Zuo, Huazhong University of Science and Technology; et al.",https://www.usenix.org/conference/osdi18/presentation/zuo,Level Hashing,https://github.com/Pfzuo/Level-Hashing
2018,移动与嵌入式系统,,能耗,Adaptive Dynamic Checkpointing for Safe Efficient Intermittent Computing,"Kiwan Maeng, Carnegie Mellon University; et al.",https://www.usenix.org/conference/osdi18/presentation/maeng,Chinchilla,https://github.com/CMUAbstract/chinchilla_osdi2018
2016,网络系统,,网络,"FaSST: Fast, Scalable and Simple Distributed Transactions with Two-Sided (RDMA) Datagram RPCs","Anuj Kalia, Carnegie Mellon University; et al.",https://www.usenix.org/conference/osdi16/technical-sessions/presentation/kalia,FaSST,https://github.com/efficient/fasst
2016,系统安全与隐私,,安全,Ryoan: A Distributed Sandbox for Untrusted Computation on Secret Data,"Tyler Hunt, The University of Texas at Austin; et al.",https://www.usenix.org/conference/osdi16/technical-sessions/presentation/hunt,Ryoan,https://github.com/ut-osa/ryoan
2014,操作系统,,虚拟化,Arrakis: The Operating System is the Control Plane,"Simon Peter, University of Washington; et al.",https://www.usenix.org/conference/osdi14/technical-sessions/presentation/peter,Arrakis,https://github.com/UWNetworksLab/arrakis
2012,操作系统,,虚拟化,Dune: Safe User-level Access to Privileged CPU Features,"Adam Belay, Stanford University; et al.",https://www.usenix.org/conference/osdi12/technical-sessions/presentation/belay,Dune,https://github.com/project-dune/dune
