年份,领域大类,tag,研究领域,论文标题,作者,论文链接,项目名,项目链接
2021,大数据系统,,High Performance Systems,"Nova-LSM: A Distributed, Component-based LSM-tree
Key-value Store","Haoyu Huang, University of Southern California; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457297,NovaLSM,https://github.com/HaoyuHuang/NovaLSM
2021,大数据系统,,Interactive Data Exploration,"Synthesizing Natural Language to Visualization (NL2VIS)
Benchmarks from NL2SQL Benchmarks","Yuyu Luo, Tsinghua University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457261,nvBench,https://github.com/TsinghuaDatabaseGroup/nvBench
2021,大数据系统,,Interactive Data Exploration,"DataPrep.EDA: Task-Centric Exploratory Data Analysis
for Statistical Modeling in Python","Jinglin Peng, Simon Fraser University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457330,dataprep,https://github.com/sfu-db/dataprep
2021,大数据系统,,ML-based Data Management,"Rotom: A Meta-Learned Data Augmentation Framework for Entity Matching, Data Cleaning, Text Classification, and Beyond","Zhengjie Miao, Duke University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457258,rotom,https://github.com/megagonlabs/rotom
2021,大数据系统,,ML-based Data Management,"Expand your Training Limits!
Generating Training Data for ML-based Data Management","Francesco Ventura, Politecnico di Torino; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457286,data-farm,https://github.com/agora-ecosystem/data-farm
2021,数据库系统,,"NL Querying and
Recommendations",Scalable and Usable Relational Learning With Automatic Language Bias,"Jose Picado, Oregon State University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457275,AutoBias,github.com/OSU-IDEA-Lab/AutoBias.
2021,数据库系统,,"NL Querying and
Recommendations",Marrying Top-k with Skyline Queries: Relaxing the Preference Input while Producing Output of Controllable Size,"Kyriakos Mouratidis, Singapore Management University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457299,ordu,https://github.com/ghlkm/ordu
2021,数据库系统,,"Query Processing
and Optimization",Small Selectivities Matter: Lifting the Burden of Empty Samples,"Axel Hertzschuch, Technische Universität Dresden; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452805,BetaEstimator,https://github.com/axhertz/BetaEstimator
2021,数据库系统,,"Query Processing
and Optimization","The Power of Nested Parallelism in Big Data Processing
– Hitting Three Flies with One Slap -","Gábor E. Gévay, Technische Universität Berlin; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457287,Matryoshka-anonymized,https://github.com/anonymous873543/Matryoshka-anonymized
2021,数据库系统,,"Query Processing
and Optimization",One WITH RECURSIVE is Worth Many GOTOs,"Denis Hirn, Universität Tübingen; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457272,One-WITH-RECURSIVE-is-Worth-Many-GOTOs,https://github.com/One-WITH-RECURSIVE-is-Worth-Many-GOTOs
2021,数据库系统,,"Query Processing
and Optimization",Worst-Case Optimal Graph Joins in Almost No Space,"Diego Arroyuelo, Universidad Técnica Federico Santa María & Millennium Institute for Foundational Research on Data; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457256,Ring,https://github.com/darroyue/Ring
2021,数据库系统,,"Query Processing
and Optimization",PGMJoins: Random Join Sampling with Graphical Models,"Ali Mohammadi Shanghooshabad, University of Warwick, Coventry; et al.",https://dl.acm.org/doi/pdf/10.1145/3448016.3457302,PGMJoins,https://github.com/shanghoosh1/PGMJoins
2021,大数据系统,,"Security, Fairness and Privacy",Slice Tuner: A Selective Data Acquisition Framework for Accurate and Fair Machine Learning Models,"Ki Hyun Tae,KAIST; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452792,SliceTuner,https://github.com/systemT2021/SliceTuner
2021,大数据系统,,"Security, Fairness and Privacy",Secure Yannakakis: Join-Aggregate Queries over Private Data,"Yilei Wang, Hong Kong University of Science and Technology; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452808,SECYAN,https://github.com/hkustDB/SECYAN
2021,大数据系统,,"Spatial, Temporal and
Multimedia Data Management",Fast Parallel Algorithms for Euclidean Minimum Spanning Tree and Hierarchical Spatial Clustering,"Yiqiu Wang,Massachusetts Institute of Technology; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457296,hdbscan,https://github.com/wangyiqiu/hdbscan
2021,大数据系统,,"Spatial, Temporal and
Multimedia Data Management","Convergence of Array DBMS and Cellular Automata:
A Road Traffic Simulation Case","Ramon Antonio Rodriges Zalipynis, HSE University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3458457,movsim,https://github.com/movsim/movsim
2021,数据库系统,,"Spatial, Temporal and
Multimedia Data Management","Consistent and Flexible Selectivity Estimation for
High-Dimensional Data","Yaoshu Wang, Shenzhen University; et al.",https://dl.acm.org/doi/pdf/10.1145/3448016.3452772,SelNet-Estimation,https://github.com/yyssl88/SelNet-Estimation
2021,大数据系统,,"Spatial, Temporal and
Multimedia Data Management",Top-K Deep Video Analytics: A Probabilistic Approach,"Ziliang Lai, The Chinese University of Hong Kong; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452786,everest,https://github.com/everest-project/everest
2021,大数据系统,,"Spatial, Temporal and
Multimedia Data Management","Fast Density-Peaks Clustering: Multicore-based Parallelization
Approach","Daichi Amagata, Osaka University & PRESTO; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452781,DPC,https://github.com/amgt-d1/DPC
2021,大数据系统,,"Spatial, Temporal and
Multimedia Data Management","Public Transport Planning: When Transit Network Connectivity
Meets Commuting Demand","Sheng Wang, New York University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457247,ct-bus,https://github.com/tgbnhy/ct-bus
2021,大数据系统,,"Spatial, Temporal and
Multimedia Data Management
","Fast and Exact Outlier Detection in Metric Spaces: A Proximity
Graph-based Approach","Daichi Amagata, Osaka University & PRESTO; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452782,DOD,https://github.com/amgt-d1/DOD
