年份,领域大类,关键词（最多3个）,论文标题,"作者和单位（格式：author, institute; et al.）",论文链接,项目链接
2020,机器学习系统,"AIforSys,配置优化,性能调优",AutoSys: The Design and Operation of Learning-Augmented Systems,"Chieh-Jan Mike Liang, Microsoft Research",https://www.usenix.org/system/files/atc20-liang-chieh-jan.pdf,https://github.com/Microsoft/nni
2020,机器学习系统,"AIforSys,Browser",PERCIVAL: Making In-Browser Perceptual Ad Blocking Practical with Deep Learning,"Zainul Abi Din, UC Davis",https://www.usenix.org/system/files/atc20-din.pdf,https://github.com/dxaen/percival
2020,机器学习系统,"机器学习编译器,机器学习,SysforAI,ML推理",NeuOS: A Latency-Predictable Multi-Dimensional Optimization Framework for DNN-driven Autonomous Systems,"Soroush Bateni, University of Texas at Dallas",https://www.usenix.org/system/files/atc20-bateni.pdf,https://github.com/Soroosh129/NeuOS
2021,计算机体系结构,,Live in the Express Lane,"Patrick Jahnke, TU Darmstadt/ SAP",https://www.usenix.org/system/files/atc21-jahnke.pdf,https://github.com/patrickjahnke/X-Lane
2020,计算机体系结构,,UREQA: Leveraging Operation-Aware Error Rates for Effective Quantum Circuit Mapping on NISQ-Era Quantum Computers,"Tirthak Patel, Northeastern University",https://www.usenix.org/system/files/atc20-patel.pdf,https://github.com/GoodwillComputingLab/UREQA
2021,软件测试,,Argus: Debugging Performance Issues in Modern Desktop Applications with Annotated Causal Tracing,"Lingmei Weng, Columbia University",https://www.usenix.org/system/files/atc21-weng.pdf,https://github.com/columbia/ArgusDebugger
2021,软件测试,,Jump-Starting Multivariate Time Series Anomaly Detection for Online Service Systems.,"Minghua Ma, Tsinghua University, BNRist",https://www.usenix.org/system/files/atc21-ma.pdf,https://github.com/NetManAIOps/JumpStarter
2021,软件测试,,TCP-Fuzz: Detecting Memory and Semantic Bugs in TCP Stacks with Fuzzing,"Yong-Hao Zou, Tsinghua University",https://www.usenix.org/system/files/atc21-zou.pdf,https://github.com/mtcp-stack/mtcp
2021,软件测试,,A Case Study of Processing-in-Memory in off-the-Shelf Systems,"Joel Nider, University of British Columbia",https://www.usenix.org/system/files/atc21-nider.pdf,https://github.com/UBC-ECE-Sasha
2020,软件测试,,FuZZan: Efficient Sanitizer Metadata Design for Fuzzing,"Yuseok Jeon, Purdue University",https://www.usenix.org/system/files/atc20-jeon.pdf,https://github.com/HexHive/FuZZan
2021,数据中心系统,"数据分析,性能调优",CrystalPerf: Learning to Characterize the Performance of Dataflow Computation through Code Analysis,"Huangshi Tian, HKUST",https://www.usenix.org/system/files/atc21-tian.pdf,https://github.com/All-less/crystalperf
2021,数据中心系统,"Serverless,工业互联网,数据中心网络",FaaSNet: Scalable and Fast Provisioning of Custom Serverless Container Runtimes at Alibaba Cloud Function Compute,"Ao Wang, George Mason University",https://www.usenix.org/system/files/atc21-wang-ao.pdf,https://github.com/mason-leap-lab/FaaSNet
2021,数据中心系统,"Serverless,低时延,时延优化",Faastlane: Accelerating Function-as-a-Service Workflows,"Swaroop Kotni, Indian Institute of Science",https://www.usenix.org/system/files/atc21-kotni.pdf,https://github.com/csl-iisc/faastlane
2020,数据中心系统,"Serverless,工业互联网,时延优化",Serverless in the Wild: Characterizing and Optimizing the Serverless Workload at a Large Cloud Provider,"Mohammad Shahrad, Microsoft Azure and Microsoft Research",https://www.usenix.org/system/files/atc20-shahrad.pdf,https://github.com/Azure/AzurePublicDataset
